Jour,Phase,Tâche,Description,Statut,Critère de fin de journée
J0,Clarifications,Images produits : URLs externes ou upload ?,"Tu dois choisir comment les photos des produits vont arriver dans ton appli. Soit tu prends des photos qui existent déjà sur Internet (comme une adresse de lien), soit tu dois construire un système pour que quelqu'un envoie sa propre photo. La première option est beaucoup plus simple, donc si personne ne te dit le contraire, choisis celle-là.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Clarifications,Délai de notification : 1h réel ou réglable pour démo ?,"L'énoncé dit d'attendre 1 heure avant d'envoyer l'email. Mais 1 heure c'est long pour tester ! Tu vas donc créer un réglage caché que tu peux changer facilement : 1 heure pour de vrai, mais 10 secondes quand tu veux tester vite.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Clarifications,Authentification requise ou email suffit ?,"Est-ce que la personne doit créer un compte avec mot de passe pour utiliser l'appli, ou est-ce qu'elle peut juste taper son email sans rien créer ? On part sur l'option simple : pas de compte, juste l'email.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Clarifications,Devise / locale imposée ?,"Est-ce que les prix doivent être en euros, en francs CFA, ou une autre monnaie ? S'il n'y a pas de règle précise, tu choisis toi-même, mais reste cohérent partout dans l'appli.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Clarifications,Format de rendu : repo Git privé ou zip ?,"Comment tu vas donner ton travail à la fin : soit tu partages un dossier de code en ligne (comme une boîte partagée appelée GitHub), soit tu envoies un fichier compressé (zip) par email. Il faut demander lequel ils préfèrent.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Clarifications,Modalité et durée du meeting live,"Tu dois savoir combien de temps va durer la réunion où tu vas expliquer ton travail, et s'ils veulent que tu prépares des diapositives ou juste que tu montres le code en direct.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Setup,Installer Node.js LTS + pnpm,"Ce sont les outils de base pour faire tourner du code JavaScript sur ton ordinateur. Node.js c'est le moteur, pnpm c'est l'outil qui télécharge les briques de code (les 'packages') dont ton projet a besoin.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Setup,Installer Docker Desktop et vérifier docker compose version,"Docker, c'est comme une boîte magique qui contient déjà des programmes tout prêts (comme la base de données) sans que tu aies besoin de les installer toi-même sur ton ordinateur. Tu l'installes et tu vérifies qu'il fonctionne en tapant une commande.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Setup,Créer repo GitHub privé avec README initial,"Tu crées une boîte en ligne (un 'repo') où va vivre tout ton code, et personne d'autre ne peut la voir sauf toi (privé). Tu écris une première page qui explique le nom du projet.",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
J0,Setup,Installer Expo Go sur téléphone ou configurer simulateur,"Expo Go, c'est une appli sur ton téléphone qui te permet de voir en direct l'appli mobile que tu es en train de construire, sans avoir besoin de la publier sur un store. Sinon, tu peux utiliser un téléphone virtuel sur ton ordinateur (un simulateur).",À faire,"Setup complet, hypothèses documentées si pas de réponse du recruteur"
